qtd_total,valor_recolhido,dif_percent_cotacao,teor,outlier
0.07763358249369069,0.15248665905489603,4.6222846652680506e-05,4.635161303613366e-05,no
0.003467306429841794,0.012604052545895748,0.00020103719432728508,0.00020085698982324587,no
0.003022696660887983,0.003756791238745226,4.56820779731784e-05,4.635161303613366e-05,no
0.012607255939980497,0.014471027883951392,4.0866661636659595e-05,4.1201433809896595e-05,no
0.023760042314817265,0.027282045681300295,4.10984196421605e-05,4.1201433809896595e-05,no
1.0,0.07577824841588447,0.0,0.0,yes
0.008765322161110072,0.10716546954989827,0.00043737885815920807,0.0004377652342301513,no
0.050036539823690995,0.06165954277394171,4.452328794567387e-05,4.3776523423015125e-05,no
0.0004893474988853471,0.05595561544858647,0.004292776283224764,0.004292674385068601,no
0.04765140996166056,0.05479792271646225,4.1561935653162307e-05,4.1201433809896595e-05,no
0.006051385626645763,0.0691915902273546,0.000404082958035578,0.0004042890692596103,no
0.010273890928451808,0.12641035004781204,0.00043400549163469487,0.0004351901446170327,no
0.4944692614373547,0.09091882857842701,0,1.0300358452474147e-01,yes
0.0022142168130934894,0.02487704820120068,0.00043058062333118144,0.00043003996539079563,no
0.002961835058415226,0.03343954632516788,0.00043256344182268923,0.0004326150550039142,no
0.003935392075905994,0.044410192351666954,0.0004241686518456565,0.00042488978616455855,no
0.006622363238456217,0.07650424576305374,0.00043058062333118144,0.00043003996539079563,no
0.009954734514061257,0.11498420544464756,0.00043804838128621063,0.0004377652342301513,no
0.008871763785363534,0.1015543921745607,0.0004186837123821351,0.00041973960693832146,no
0.011937621887151039,0.13754289278263598,0.00042074378354214307,0.00041973960693832146,no
0.010548959380908754,0.125300351210843,0.00041018591884710184,0.0004094392484858474,no
0.029449242446320682,0.3665162952537398,0.0003938083531250379,0.00039398871080713614,no
0.011979507857536105,0.15993329505570078,0.00039481263781554184,0.00039398871080713614,no
0.014898987668678872,0.20891685063820994,0.0004204862746471421,0.00041973960693832146,no
0.11122549300725697,0.15775390282644525,3.991387872515587e-05,4.1201433809896595e-05,no
0.12212855188155604,0.17066459648908175,3.9218604708653156e-05,3.862634419677805e-05,no
0.17656414137863877,0.24931760537441064,4.009413495165657e-05,4.1201433809896595e-05,no
0.0002509307746079234,0.35033878855231004,0.038884821678952845,0.0388838531580899,no
0.0006287347671819896,1.0,0.03885739698163524,0.03885810226195872,no
0.00032388528148659607,0.5835684992411421,0.04830766441749815,0.04830868114210375,no
0.0002336878571813791,0.37924837746681356,0.04295276694595224,0.04295249474681719,no
0.00027456307734744395,0.44544015295650957,0.0399979811302632,0.03999886696057023,no
0.0002282610911245951,0.41515522962685264,0.0431997952289267,0.04319970334967657,no
0.00021545825501723774,0.393653859061827,0.045145429435996295,0.04514647109719419,no
0.00022495208743143413,0.39212432897096094,0.04285478481140435,0.04285464134151869,no
0.00027621156282367325,0.48728703910085547,0.04426683483714237,0.044265790449507646,no
0.00026804133188674124,0.46643089255230513,0.043524076180401466,0.04352416464092951,no
0.00027175944876378394,0.4771500298546282,0.04473114912571868,0.0447318816694821,no
0.00029880904986278705,0.5227789106171774,0.04444415546224006,0.04444347163281282,no
0.00028933928292999546,0.5020901740162085,0.04716612748595869,0.04716534135387911,no
0.00024985986068540945,0.4043599571157498,0.04306213097365916,0.04306322360018129,no
2.165893326432637e-06,0.00541750141922155,0.044195504873227084,0.04419626302995344,no
9.570841954691775e-05,0.15376949356696867,0.0452496690366927,0.04524947468171892,no
7.201595310388518e-05,0.13157853053621327,0.05122333463203653,0.05122368258415393,no
0.00010266334367290698,0.1653740745962274,0.04541007132738883,0.04540913023773228,no
3.429331100185008e-06,0.007233719951423986,0.04393148100318256,0.04393102879980224,no
4.211459245841238e-06,0.008238967242520132,0.04298567658273336,0.042985970911787734,no
7.089690821856164e-05,0.10856644490318096,0.04348040267180929,0.04348038811750649,no
7.177529828983711e-05,0.12409688984171666,0.04910056005609574,0.04910180874294426,no
0.00010375832307682571,0.15507490610647254,0.0426867602574162,0.042687260516665985,no
9.782618191054076e-06,0.01658329861305278,0.04295987419145426,0.042960220015656546,no
4.307721171460466e-06,0.00807829569847447,0.04124988637420009,0.04125036051254584,no
4.595303674247911e-05,0.06933738477658123,0.0422253558193534,0.04222631947591777,no
4.246354193878209e-05,0.07235575200189655,0.047569849931541265,0.04756963042313873,no
7.235286984355248e-05,0.10754859592235574,0.04202995806982663,0.04203061266532075,no
0.00032591881466530225,0.00046643754344410655,4.346750147616974e-05,4.3776523423015125e-05,no
1.0973859520592028e-05,0.01823499508490345,0.042367371974946444,0.04236794940463928,no
7.255742643549333e-06,0.01306716464343913,0.04349855704890687,0.04349841374479832,no
4.757745673730359e-05,0.07211448215062538,0.04215948504401214,0.04215936714597668,no
